KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"tips_level_43","You're very smartly!","Bạn rất thông minh!","Ты очень шустрый!","Eres muy inteligente!","Vous êtes très intelligemment!","あなたはとても賢いです！","당신은 매우 똑똑합니다!","คุณฉลาดมาก!","!اﺪﺟ ءﺎﻛﺬﺑ ﺖﻧأ","你真聪明！","Você é muito esperto!","Du bist sehr schlau!","Sei molto elegante!","Kamu sangat pintar!","Çok zekisin!",
"ques_level_44","Look for the stars?","Hãy tìm những ngôi sao ?","Ищите звезды?","Buscar las estrellas?","Cherchez les étoiles?","星を探して？","별을 찾으십니까?","มองหาดวงดาว?","؟مﻮﺠﻨﻟا ﻦﻋ ﺚﺤﺑا","寻找星星？","Procure as estrelas?","Nach den Sternen suchen?","Cerchi le stelle?","Mencari bintang-bintang?","Yıldızları mı arıyorsunuz?",
"hint_level_44","Shake the device to make them dizzy","Hãy lắc thiết bị để làm chúng chóng mặt","Встряхните устройство, чтобы сделать их головокружение","Agite el dispositivo para marearlos.","Secouez l'appareil pour les étourdir","めまいがするようにデバイスを振る","어지럽게 장치를 흔들어","เขย่าอุปกรณ์เพื่อทำให้อาการวิงเวียนศีรษะ","راوﺪﻟﺎﺑ ﺎﻬﻠﻌﺠﻟ زﺎﻬﺠﻟا ﺰﻫ","摇动设备使其晕眩","Agite o dispositivo para deixá-lo tonto","Schütteln Sie das Gerät, damit es schwindlig wird","Scuoti il ​​dispositivo per farli girare la testa","Kocok perangkat untuk membuatnya pusing","Başlarını döndürmek için cihazı sallayın",
"tips_level_44","Dizziness too!","Quá dễ dàng","Головокружение тоже!","Mareos también!","Le vertige aussi!","めまいも！","현기증도!","เวียนศีรษะด้วย!","!ﺎﻀﻳأ ﺔﺧوﺪﻟا","头晕也！","Tontura também!","Schwindel auch!","Anche le vertigini!","Pusing juga!","Baş dönmesi de!",
"ques_level_48","Turn on all the lights?","Hãy bật sáng tất cả cái đèn ?","Включить все огни?","¿Encender todas las luces?","Allumer toutes les lumières?","すべてのライトをオンにしますか？","모든 표시등을 켭니까?","เปิดไฟทั้งหมดเหรอ?","؟ءاﻮﺿﻷا ﻞﻛ ﯽﻠﻋ هروﺪﺑ","打开所有的灯？","Acender todas as luzes?","Alle Lichter einschalten?","Accendi tutte le luci?","Nyalakan semua lampu?","Bütün ışıkları aç?",
"hint_level_48","Pull a light out of the screen","Hãy kéo 1 chiếc đèn ra khỏi màn hình","Вытащите свет из экрана","Saca una luz de la pantalla","Tirez une lumière de l'écran","画面から光を引き出します","화면에서 불을 끄십시오","ดึงแสงออกจากหน้าจอ","ﺔﺷﺎﺸﻟا ﻦﻣ اًءﻮﺿ ﺐﺤﺳا","从屏幕上拉出一盏灯","Puxe uma luz para fora da tela","Ziehen Sie ein Licht aus dem Bildschirm","Estrai una luce dallo schermo","Tarik cahaya dari layar","Ekrandan bir ışık çekin",
"tips_level_48","Well Done!","Làm tốt!","Отлично сработано!","¡Bien hecho!","Bien joué!","よくやった！","잘 했어!","ทำได้ดี!","!ﺖﻨﺴﺣأ","做得好！","Bem feito!","Gut gemacht!","Molto bene!","Sudah selesai dilakukan dengan baik!","Aferin!",
"ques_level_50","Control arrows pointing at you?","Điều khiển mũi tên chỉ vào bạn ?","Контрольные стрелки, указывающие на вас?","¿Flechas de control apuntando hacia ti?","Des flèches de contrôle pointant vers vous?","あなたを指す矢印を制御しますか？","당신을 가리키는 제어 화살표?","ลูกศรควบคุมชี้ไปที่คุณ?","؟ﻚﻴﻟإ اﺮﻴﺸﻣ ةﺮﻄﻴﺴﻟا مﺎﻬﺴﻟا","控制箭头指向您？","Setas de controle apontando para você?","Kontrollpfeile, die auf Sie zeigen?","Controlla le frecce che puntano verso di te?","Mengontrol panah yang menunjuk pada Anda?","Kontrol okları sana mı işaret ediyor?",
"hint_level_50","Move the cupid to the word you in question","Di chuyển thần tình yêu đến chữ bạn trong câu hỏi","Переместите купидона к слову, которое вы спрашиваете","Mueve el cupido a la palabra en cuestión","Déplacez le Cupidon vers le mot en question","キューピッドを問題の単語に移動します","큐피드를 해당 단어로 이동","ย้ายกามเทพไปยังคำที่คุณสงสัย","لاﺆﺴﻟا ﻲﻓ ﻲﺘﻟا ﺔﻤﻠﻜﻟا ﯽﻟإ ﺪﻴﺑﻮﻴﻛ ﻞﻘﻧ","将丘比特移到您要查询的单词","Mova o cupido para a palavra em questão","Bewegen Sie den Amor zu dem Wort, das Sie in Frage stellen","Sposta il cupido sulla parola in questione","Pindahkan dewa asmara ke kata yang Anda ajukan","Aşk tanrısını söz konusu kelimeye getirin",
"tips_level_50","Love you forever!","Crush bạn luôn rồi!","Люблю тебя навсегда!","¡Te amo por siempre!","Je t'aime pour toujours!","永遠にあなたを愛しています！","큐피드를 해당 단어로 이동","รักคุณตลอดไป!","!ﺪﺑﻸﻟ ﻚﺒﺣأ","永远爱你！","Te amo para sempre!","Liebe dich für immer!","Ti amerò per sempre!","Mencintaimu selamanya!","Seni sonsuza kadar seveceğim!",
"ques_level_51","How do turtles win over rabbits?","Làm sao để rùa thắng thỏ ?","Как черепахи побеждают кроликов?","¿Cómo se ganan las tortugas a los conejos?","Comment les tortues gagnent-elles les lapins?","カメはどのようにウサギに勝ちますか？","거북이가 토끼를 어떻게 이기는가?","เต่าชนะกระต่ายได้อย่างไร","؟ﺐﻧارﻷا ﯽﻠﻋ ﻒﺣﻼﺴﻟا زﻮﻔﺗ ﻒﻴﻛ","乌龟如何战胜兔子？","Como as tartarugas conquistam coelhos?","Wie gewinnen Schildkröten Kaninchen?","In che modo le tartarughe conquistano i conigli?","Bagaimana penyu menang atas kelinci?","Kaplumbağalar tavşanları nasıl kazanıyor?",
"hint_level_51","Click on the rabbit so it cannot be moved","Tab vào thỏ để nó không thể di chuyển được","Нажмите на кролика, чтобы он не мог быть перемещен","Haga clic en el conejo para que no se pueda mover.","Cliquez sur le lapin pour qu'il ne puisse pas être déplacé","移動できないようにウサギをクリックします","토끼를 클릭하면 움직일 수 없습니다","คลิกที่กระต่ายเพื่อที่จะไม่สามารถย้ายได้","ﻪﻠﻘﻧ ﻦﻜﻤﻳ ﻻ ﯽﺘﺣ ﺐﻧرﻷا ﯽﻠﻋ ﺮﻘﻧا","单击兔子，使其无法移动","Clique no coelho para que ele não possa ser movido","Klicke auf das Kaninchen, damit es nicht bewegt werden kann","Fai clic sul coniglio in modo che non possa essere spostato","Klik pada kelinci sehingga tidak dapat dipindahkan","Tavşan üzerine tıkla böylece hareket ettirilemez",
"tips_level_51","You are Winner!","Bạn là người chiến thắng","Вы Победитель!","¡Tu eres un ganador!","Tu es le gagnant!","あなたは勝者です！","당신은 승자입니다!","คุณเป็นผู้ชนะ!","!ﺰﺋﺎﻔﻟا ﺖﻧا","你是赢家！","Voce é vencedor!","Du bist ein Gewinner!","Sei vincitore!","Anda adalah Pemenang!","Sen Kazandın!",
"ques_level_52","What time will it be after 3 hours?","Sau 3 tiếng nữa sẽ là mấy giờ ?","Во сколько это будет через 3 часа?","¿A qué hora será después de 3 horas?","Quelle heure sera-t-il après 3 heures?","3時間後は何時ですか？","3 시간 후 몇시입니까?","เวลาใดหลังจาก 3 ชั่วโมง","؟تﺎﻋﺎﺳ 3 ﺪﻌﺑ نﻮﻜﻴﺳ ﺖﻗو يأ ﻲﻓ","3小时后几点？","Que horas serão depois de 3 horas?","Wie spät ist es nach 3 Stunden?","Che ora sarà dopo 3 ore?","Jam berapa setelah 3 jam?","3 saat sonra ne zaman olacak?",
"hint_level_52","After 3 hours it is still 10h10 because this watch is not working","Sau 3 tiếng nữa vẫn là 10h10 vì chiếc đồng hồ này không hoạt động","Через 3 часа это все еще 10h10, потому что эти часы не работают","Después de 3 horas, todavía son las 10h10 porque este reloj no funciona\n","Après 3 heures il est encore 10h10 car cette montre ne fonctionne pas\n","この時計が機能していないため、3時間後もまだ10時間10分です\n","이 시계가 작동하지 않기 때문에 3 시간 후에도 여전히 10 시간 10 분입니다.\n","หลังจาก 3 ชั่วโมงก็ยังคงเป็น 10h10 เพราะนาฬิกาเรือนนี้ไม่ทำงาน\n","ﻞﻤﻌﺗ ﻻ ﺔﻋﺎﺴﻟا هﺬﻫ نﻷ 10h10 لاﺰﻳ ﻻ ، تﺎﻋﺎﺳ 3 ﺪﻌﺑ\n","3小时后仍然是10点10分，因为此手表无法正常工作\n","Após 3 horas, ainda são 10h10 porque este relógio não está funcionando\n","Nach 3 Stunden ist es immer noch 10h10, da diese Uhr nicht funktioniert\n","Dopo 3 ore sono ancora le 10h10 perché questo orologio non funziona\n","Setelah 3 jam, masih jam 10h10 karena arloji ini tidak berfungsi\n","3 saat sonra saat 10: 10'dur, çünkü bu saat çalışmıyor\n",
"tips_level_52","Great! I can't fool you","Tuyệt quá!Tôi không thể lừa bạn","большой! Я не могу тебя обмануть","Excelente! No puedo engañarte","Géniale! Je ne peux pas te duper","すばらしいです！私はあなたをだますことはできません","큰! 나는 당신을 바보 수 없습니다","ที่ดี! ฉันหลอกคุณไม่ได้","ﻚﻋاﺪﺧ ﻊﻴﻄﺘﺳأ ﻻ !ﻢﻴﻈﻋ","大！我不能骗你","Ótima! Eu não posso te enganar","Groß! Ich kann dich nicht täuschen","Grande! Non posso ingannarti","Besar! Aku tidak bisa membodohimu","Harika! Seni kandıramam",
"ques_level_53","How to be calculated correctly?","Làm sao để được phép tính đúng?","Как правильно рассчитать?","¿Cómo ser calculado correctamente?","Comment être calculé correctement?","正しく計算する方法は？","올바르게 계산하는 방법?","วิธีการคำนวณอย่างถูกต้อง?","؟ﺢﻴﺤﺻ ﻞﻜﺸﺑ ﺐﺴﺤﺗ ﻒﻴﻛ","如何正确计算？","Como ser calculado corretamente?","Wie wird richtig gerechnet?","Come si calcola correttamente?","Bagaimana cara menghitungnya dengan benar?","Doğru bir şekilde nasıl hesaplanır?",
"hint_level_53","Wipe of a haft G, it didn't seem to work?. Just try again","Xóa sạch một thân cây G, nó dường như không hoạt động?. Chỉ cần thử lại","Протрите рукоятку G, это не похоже на работу? Просто попробуйте еще раз","Limpiar un mango G, ¿no parecía funcionar? Solo inténtalo de nuevo","Essuyer un manche G, ça ne semblait pas marcher?. Essayez encore","柄Gを拭いてもうまくいかないようです。もう一度やり直してください","손잡이 G를 닦으면 작동하지 않는 것 같습니다. 다시 시도해주세요","เช็ดเพลา G ดูเหมือนว่าจะไม่ทำงานใช่ไหม ลองอีกครั้ง","ىﺮﺧأ ةﺮﻣ لوﺎﺣ ﻂﻘﻓ ؟ﻞﻤﻌﺗ ﻻ ﺎﻬﻧأ وﺪﺒﻳ ، ﺖﻔﻫ G ﻦﻣ ﺢﺴﻣ","擦掉G柄，似乎没有用？再试一次","Limpando um cabo G, não parecia funcionar? Apenas tente novamente","Wipe of a Haft G, schien es nicht zu funktionieren ?. Einfach nochmal versuchen","Cancellare un manico G, non sembra funzionare ?. Riprova","Usap haft G, sepertinya tidak berfungsi ?. Coba lagi","Bir G gazı silin, işe yaramadı mı? Tekrar dene",
"tips_level_53","You're got it made!","Bạn đã làm nó được thực hiện!","Вы сделали это!","Lo tienes hecho!","Vous l'avez fait!","あなたはそれが作られています！","당신은 그것을 만들었습니다!","คุณได้รับมัน!","!ﻪﻴﻠﻋ ﺖﻠﺼﺣ ﺪﻘﻟ","一切顺利！","Você conseguiu!","Du hast es geschafft!","Ce l'hai fatta!","Anda berhasil!","Sen yaptın!",
"ques_level_55","How to open the chest?","Làm sao để mở hòm?","Как открыть сундук?","¿Cómo abrir el cofre?","Comment ouvrir le coffre?","胸を開ける方法は？","가슴을 여는 방법?","วิธีการเปิดหน้าอก?","؟رﺪﺼﻟا ﺢﺘﻔﺗ ﻒﻴﻛ","如何打开胸部？","Como abrir o baú?","Wie öffnet man die Truhe?","Come aprire il baule?","Bagaimana cara membuka peti?","Göğüs nasıl açılır?",
"hint_level_55","There is a key in the suggestion box","Có 1 chiếc chìa khóa ở ô gợi ý kìa","В ящике для предложений есть ключ","Hay una clave en el cuadro de sugerencias","Il y a une clé dans la boîte à suggestions","提案ボックスにキーがあります","제안 상자에 키가 있습니다","มีคีย์ในกล่องคำแนะนำ","حاﺮﺘﻗﻻا ﻊﺑﺮﻣ ﻲﻓ حﺎﺘﻔﻣ كﺎﻨﻫ","建议框中有一个钥匙","Há uma chave na caixa de sugestões","Im Vorschlagsfeld befindet sich ein Schlüssel","C'è una chiave nella casella dei suggerimenti","Ada kunci di kotak saran","Öneri kutusunda bir anahtar var",
"tips_level_55","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!","Hahaaa!",
"ques_level_56","Pig is sad, let's make him happy?","Chú Lợn đang bị buồn, hãy làm cho chú lợn vui vẻ nào?","Свинья грустит, давайте сделаем его счастливым?","Pig está triste, ¿hagámoslo feliz?","Pig est triste, rendons-le heureux?","豚は悲しいです、彼を幸せにしましょうか？","돼지는 슬프다, 그를 행복하게하자?","หมูเศร้าทำให้เขามีความสุขไหม","؟اﺪﻴﻌﺳ ﻪﻠﻌﺠﻧ ﺎﻧﻮﻋد ، ﻦﻳﺰﺣ ﺮﻳﺰﻨﺧ","猪很伤心，让他开心吗？","Porco está triste, vamos fazê-lo feliz?","Schwein ist traurig, machen wir ihn glücklich?","Maiale è triste, rendiamolo felice?","Babi sedih, mari kita buat dia bahagia?","Domuz üzgün, onu mutlu edelim mi?",
"hint_level_56","Please watch the video to make the pig happy","Hãy xem video để chú lợn được vui nào","Пожалуйста, посмотрите видео, чтобы сделать свинью счастливой","Mira el video para hacer feliz al cerdo","Veuillez regarder la vidéo pour rendre le cochon heureux","ブタを幸せにするためにビデオを見てください","돼지를 행복하게하려면 비디오를보십시오","โปรดดูวิดีโอเพื่อให้หมูมีความสุข","اﺪﻴﻌﺳ ﺮﻳﺰﻨﺨﻟا ﻞﻌﺠﻟ ﻮﻳﺪﻴﻔﻟا ةﺪﻫﺎﺸﻣ ﯽﺟﺮﻳ","请观看视频让猪开心","Por favor, assista ao vídeo para fazer o porco feliz","Bitte schauen Sie sich das Video an, um das Schwein glücklich zu machen","Guarda il video per rendere felice il maiale","Silakan tonton videonya untuk membuat babi senang","Domuzu mutlu etmek için lütfen videoyu izleyin",
"tips_level_56","You are a humorous person :)","Bạn là một người hài hước :)","Вы юмористический человек :)","Eres una persona humorística :)","Vous êtes une personne pleine d'humour :)","あなたはユーモラスな人です:)","당신은 유머러스 한 사람입니다 :)","คุณเป็นคนที่มีอารมณ์ขัน :)",":< حﺮﻣ ﺺﺨﺷ ﺖﻧا","你是一个幽默的人:)","Você é uma pessoa bem-humorada :)","Du bist eine humorvolle Person :)","Sei una persona divertente :)","Anda orang yang humoris :)","Sen mizahi bir insansın :)",
"name_Game","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy","Brain Crazy",
"des_Notify","Play Game Now !!!","Chơi trò chơi ngay!!!","Играть в игру сейчас !!!","¡Juega ya!","Jouez au jeu maintenant !!!","今すぐゲームをプレイ!!!","지금 게임하세요!","เล่นเกมตอนนี้ !!!","!نﻵا ﺔﺒﻌﻟ ﺐﻌﻠﺗ","立即玩游戏！","Jogue agora!","Spielen Sie jetzt !!!","Gioca ora !!!","Mainkan Game Sekarang !!!","Şimdi Oyunu Oyna !!!",
"ques_level_59","How do pigs wake up?","Làm sao để con lợn tỉnh dậy?","Как просыпаются свиньи?","¿Cómo se despiertan los cerdos?","Comment les porcs se réveillent-ils?","豚はどのように目を覚ますのですか？","돼지는 어떻게 깨우나요?","หมูตื่นขึ้นมาได้อย่างไร?","؟ﺮﻳزﺎﻨﺨﻟا ﻆﻘﻴﺘﺴﺗ ﻒﻴﻛ","猪如何醒来？","Como os porcos acordam?","Wie wachen Schweine auf?","Come si svegliano i maiali?","Bagaimana babi bangun?","Domuzlar nasıl uyanır?",
"hint_level_59","Cover his nose with his hand","Hãy lấy tay bịt mũi nó lại","Закрой нос рукой","Cubra su nariz con su mano","Couvrir son nez avec sa main","鼻を手で覆う","손으로 코를 막 으세요","กำมือด้วยจมูก","هﺪﻴﺑ ﻪﻔﻧأ ﻂﻏ","用手遮住鼻子","Cubra o nariz com a mão","Bedecke seine Nase mit seiner Hand","Copriti il ​​naso con la mano","Tutupi hidungnya dengan tangannya","Burnunu eliyle kapat",
"tips_level_59","So funny!","Buồn cười!","Так смешно!","¡Muy divertido!","Si amusant!","とても面白い！","엄청 웃겨!","ตลกมาก!","!اﺪﺟ ﻚﺤﻀﻣ","真好笑！","Tão engraçado!","So lustig!","Così divertente!","Sangat lucu!","Çok komik!",
"ques_level_47","Tab 3 times on green button, 5 times on yellow button","Tab 3 lần vào nút xanh, 5 lần vào nút vàng","3 раза нажмите на зеленую кнопку, 5 раз на желтую кнопку","Pestaña 3 veces en el botón verde, 5 veces en el botón amarillo","Tab 3 fois sur le bouton vert, 5 fois sur le bouton jaune","緑色のボタンで3回、黄色のボタンで5回","녹색 버튼은 3 번, 노란색 버튼은 5 번","แท็บ 3 ครั้งบนปุ่มสีเขียว 5 ครั้งบนปุ่มสีเหลือง","ﺮﻔﺻﻷا رﺰﻟا ﯽﻠﻋ تاﺮﻣ 5 ، ﺮﻀﺧﻷا رﺰﻟا ﯽﻠﻋ تاﺮﻣ 3 ﺐﻳﻮﺒﺘﻟا ﺔﻣﻼﻋ","在绿色按钮上按3次，在黄色按钮上按5次","Tab 3 vezes no botão verde, 5 vezes no botão amarelo","Tab 3 mal auf die grüne Taste, 5 mal auf die gelbe Taste?","Scheda 3 volte sul pulsante verde, 5 volte sul pulsante giallo","Tab 3 kali pada tombol hijau, 5 kali pada tombol kuning","Yeşil düğmeye 3 kez sekme, sarı düğmeye 5 kez sekme",
"hint_level_47","After 6th tap, wait a few seconds until the color change back to yellow","Sau lần nhấn thứ 6, đợi vài giây cho đến khi màu chuyển sang màu vàng","После 6-го касания подождите несколько секунд, пока цвет не изменится на желтый\n","Después del sexto toque, espere unos segundos hasta que el color vuelva a amarillo.","Après le 6e tapotement, attendez quelques secondes jusqu'à ce que la couleur redevienne jaune","6回目のタップ後、色が黄色に戻るまで数秒待ちます","6 번째 탭 후 색상이 다시 노란색으로 바뀔 때까지 몇 초 기다립니다","หลังจากแตะครั้งที่ 6 ให้รอสองสามวินาทีจนกระทั่งสีเปลี่ยนเป็นสีเหลือง","ﺮﻔﺻﻷا نﻮﻠﻟا ﯽﻟإ نﻮﻠﻟا ﺮﻴﻐﺘﻳ ﯽﺘﺣ ٍناﻮﺛ ﻊﻀﺑ ﺮﻈﺘﻧا ، ﺔﺳدﺎﺴﻟا ﺔﻴﻔﻨﺤﻟا ﺪﻌﺑ","第6次点击后，等待几秒钟，直到颜色变回黄色","Após o sexto toque, aguarde alguns segundos até a cor voltar a amarelo","Warten Sie nach dem 6. Tippen einige Sekunden, bis die Farbe wieder gelb wird","Dopo il 6 ° tocco, attendi qualche secondo fino a quando il colore torna al giallo","Setelah ketuk ke-6, tunggu beberapa detik hingga warnanya berubah kembali menjadi kuning","6. kez dokunulduktan sonra, renk sarıya dönene kadar birkaç saniye bekleyin",
"tips_level_47","It's tricky one! Hahaaa","Đó là một khó khăn! Hahaaa","Это сложно! Hahaaa\n","¡Es complicado! Jajaja","C'est délicat! Hahaaa","トリッキーなものです！ハハア","까다로운 것입니다! 하아","มันเป็นเรื่องยุ่งยาก! Hahaaa","Hahaaa !ﺔﺒﻌﺻ ةﺪﺣاو ﺎﻬﻧا","这很棘手！哈哈","É complicado! Hahaaa","Es ist knifflig! Hahaaa","È difficile! hahaaa","Itu rumit! Hahaaa","Bu zor olanı! Hahaaa",
"ques_level_49","Let's kill the cockroach","Hãy giết chết con gián","Давайте убьем таракана\n","Matemos la cucaracha","Tuez le cafard","ゴキブリを殺しましょう","바퀴벌레를 죽이자","ฆ่าแมลงสาบกันเถอะ","رﻮﺻﺮﺼﻟا ﻞﺘﻘﻧ ﺎﻨﻋد","让我们杀死蟑螂","Vamos matar a barata","Lass uns die Kakerlake töten","Uccidiamo lo scarafaggio","Mari kita bunuh kecoak itu","Hamamböceği öldürelim",
"hint_level_49","Put 1 finger on the screen to attract it and then use another finger to kill it","Đặt 1 ngón tay trên màn hình để thu hút nó và sau đó sử dụng một ngón tay khác để giết nó","Положите 1 палец на экран, чтобы привлечь его, а затем используйте другой палец, чтобы убить его\n","Pon 1 dedo en la pantalla para atraerlo y luego usa otro dedo para matarlo","Mettez 1 doigt sur l'écran pour l'attirer puis utilisez un autre doigt pour le tuer","画面に1本の指を置いてそれを引き付け、別の指でそれを殺します","화면에 1 개의 손가락을 대고 끌어 당긴 다음 다른 손가락을 사용하여 죽입니다.","วางนิ้วบนหน้าจอเพื่อดึงดูดจากนั้นใช้นิ้วอื่นเพื่อฆ่า","ﻪﻠﺘﻘﻟ ﺮﺧآ ﺎًﻌﺒﺻإ مﺪﺨﺘﺳا ﻢﺛ ، ﺎﻬﺑﺬﺠﻟ ﺔﺷﺎﺸﻟا ﯽﻠﻋ ﺎًﻌﺒﺻإ ﻊﺿ","将一根手指放在屏幕上以吸引它，然后用另一根手指将其杀死","Coloque um dedo na tela para atraí-lo e depois use outro dedo para matá-lo","Legen Sie einen Finger auf den Bildschirm, um ihn anzuziehen, und töten Sie ihn dann mit einem anderen Finger","Metti 1 dito sullo schermo per attirarlo e poi usa un altro dito per ucciderlo","Letakkan 1 jari di layar untuk menariknya, lalu gunakan jari lain untuk membunuhnya","Ekrana çekmek için 1 parmağınızı koyun ve öldürmek için başka bir parmağınızı kullanın",
"tips_level_49","Well Done!","Làm tốt!","Отлично сработано!\n","¡Bien hecho!","Bien joué!","よくやった！","잘 했어!","ทำได้ดี!","!ﺖﻨﺴﺣأ","做得好！","Bem feito!","Gut gemacht!","Molto bene!","Sudah selesai dilakukan dengan baik!","Aferin!",
"ques_level_63","How to prevent the girl from getting wet hair","Làm sao để cô gái ko bị ướt tóc","Как не дать девушке промокнуть волосы\n","Cómo evitar que la niña se moje el cabello","Comment empêcher la fille de se mouiller les cheveux","女の子が髪を濡らすのを防ぐ方法","소녀가 젖은 머리카락을 얻지 못하게하는 방법","วิธีการป้องกันไม่ให้ผู้หญิงผมเปียก","ﻞﻠﺒﻣ ﺮﻌﺷ ﯽﻠﻋ لﻮﺼﺤﻟا ﻦﻣ ةﺎﺘﻔﻟا ﻊﻨﻣ ﺔﻴﻔﻴﻛ","如何防止女孩弄湿头发","Como evitar que a garota molhe os cabelos","So verhindern Sie, dass das Mädchen nasse Haare bekommt","Come impedire alla ragazza di bagnarsi i capelli","Bagaimana mencegah gadis itu dari rambut basah","Kızın ıslak saç alması nasıl önlenir",
"hint_level_63","Put the girl's hair in a suitcase","Hãy cất tóc của cô gái vào chiếc Vali","Положите волосы девушки в чемодан\n","Pon el cabello de la niña en una maleta","Mettez les cheveux de la fille dans une valise","女の子の髪をスーツケースに入れる","여자의 머리를 가방에 넣어","ใส่ผมของหญิงสาวในกระเป๋าเดินทาง","ﺔﺒﻴﻘﺣ ﻲﻓ ةﺎﺘﻔﻟا ﺮﻌﺷ ﻊﺿ","把女孩的头发放在手提箱里","Coloque o cabelo da menina em uma mala","Steck die Haare des Mädchens in einen Koffer","Metti i capelli della ragazza in una valigia","Masukkan rambut gadis itu ke dalam koper","Kızın saçını bir çantaya koy.",
"tips_level_63","Woo! thank you. I'm beautiful","Woo! cảm ơn bạn. Tôi đẹp","Woo! Спасибо. я прекрасен","¡Cortejar! gracias. soy hermosa","Courtiser! Je vous remercie. je suis beau","わー！ありがとうございました。私は美しいです","우! 고맙습니다. 난 아름다운 해요","แอ่ว! ขอขอบคุณ. ฉันสวย","ﻞﻴﻤﺟ ﺎﻧأ .اﺮﻜﺷ !وو","！谢谢。我很美","Woo! obrigado. Eu sou bonito","Woo! Danke dir. ich bin schön","Corteggiare! grazie. sono bello","Merayu! Terima kasih. saya cantik","Woo! teşekkür ederim. ben güzelim",
"ques_level_64","Wake up the sleeping princess","Đánh thức cô công chúa đang ngủ","Разбуди спящую принцессу\n","Despierta a la princesa dormida","Réveillez la princesse endormie","眠っている王女を起こして","잠자는 공주를 깨워","ตื่นขึ้นมานอนเจ้าหญิง","ﺔﻤﺋﺎﻨﻟا ةﺮﻴﻣﻷا ﻆﻘﻴﺘﺳا","唤醒沉睡中的公主","Acorde a princesa adormecida","Weck die schlafende Prinzessin auf","Sveglia la principessa addormentata","Bangunkan putri yang sedang tidur","Uyuyan prensesi uyandır",
"hint_level_64","Pull the curtain open to let the princess wake up","Hãy kéo tấm rèm cửa ra để công chúa thức dậy","Потяните занавеску, чтобы принцесса проснулась","Abre la cortina para que la princesa se despierte","Ouvrez le rideau pour laisser la princesse se réveiller","カーテンを開いて、王女を目覚めさせます","공주가 일어나도록 커튼을 열어","ดึงม่านเปิดออกเพื่อให้เจ้าหญิงตื่นขึ้นมา","ظﺎﻘﻴﺘﺳﻻﺎﺑ ةﺮﻴﻣﻸﻟ حﺎﻤﺴﻠﻟ ﺔﺣﻮﺘﻔﻣ ةرﺎﺘﺴﻟا ﺐﺤﺳا","拉开窗帘，让公主醒来","Abra a cortina para deixar a princesa acordar","Öffne den Vorhang, damit die Prinzessin aufwacht","Apri la tenda per far svegliare la principessa","Tarik tirai terbuka untuk membiarkan sang putri bangun","Prensesin uyanmasına izin vermek için perdeyi çekerek aç",
"tips_level_64","Good night! aoh aaa ...","Ngủ ngon quá! aoh aaa...","Доброй ночи! ааа ааа ...","¡Buenas noches! aoh aaa ...","Bonne nuit! aoh aaa ...","おやすみなさい！あああああ...","안녕히 주무세요! 아아 아아아 ...","ราตรีสวัสดิ์! อ๊ะอ้า ...","... هوا !ﺮﻴﺧ ﯽﻠﻋ ﺢﺒﺼﺗ","晚安！噢噢...","Boa noite! aoh aaa ...","Gute Nacht! aoh aaa ...","Buona notte! aoh aaa ...","Selamat malam! aoh aaa ...","İyi geceler! aoh aaa ...",
"ques_level_66","Find the happy bee","Hãy tìm chú ong hạnh phúc","Найди счастливую пчелу","Encuentra la abeja feliz","Trouvez l'abeille heureuse","幸せな蜂を見つける","행복한 벌 찾기","ค้นหาผึ้งที่มีความสุข","ةﺪﻴﻌﺳ ﺔﻠﺤﻧ ﯽﻠﻋ رﻮﺜﻌﻟا","找到快乐的蜜蜂","Encontre a abelha feliz","Finde die glückliche Biene","Trova l'ape felice","Temukan lebah bahagia","Mutlu arı bulmak",
"hint_level_66","Take a close look!","Hãy nhìn thật kỹ!","Присмотритесь!","¡Mira de cerca!","Regardez de près!","よく見てください！","자세히 살펴보세요!","ลองดู!","!ﺔﺼﺣﺎﻓ ةﺮﻈﻧ ﻲﻘﻠﻧ","仔细看看！","Dê uma olhada!","Schau genau hin!","Dai un'occhiata da vicino!","Lihatlah dari dekat!","Yakından bak!",
"tips_level_66","You are so sharp-eyed!","Bạn thật tinh mắt!","Ты такой проницательный!","¡Eres tan aguda!","Tu es si aiguisé!","あなたはとても鋭い目です！","당신은 너무 예리한입니다!","คุณช่างเขิน!","!ﻦﻴﻨﻴﻌﻟا دﺎﺣ ﺖﻧأ","你真是太聪明了！","Você é tão perspicaz!","Du bist so scharfäugig!","Sei così acuto!","Anda sangat tajam!","Çok keskin gözlüsün!",
